日付,カテゴリ,発生日時,終了日時,実作業時間(概算),内容（転記用）
2026/04/24,サイボウズ関連,09:07,16:50,0:55,"サイボウズ（トップページ）の操作 (09:07～09:07) / サイボウズ（個人フォルダ）の操作 (09:07～09:07, 15:09～15:16) / サイボウズ（メッセージの詳細）の操作 (09:07～09:07, 15:09～15:15) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MailIndex および他 3 ページ）の操作 (09:07～09:12) / サイボウズ（メール）の操作 (09:07～09:12, 15:09～15:15) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MyFolderIndex および他 3 ページ）の操作 (15:09～15:14) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=FileView&fCID=1247805&fFID=1255601 および他 4 ページ）の操作 (15:09～15:14) / サイボウズ（ファイルの詳細）の操作 (15:09～15:14) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=FileView&fCID=1247805&fFID=1255601 および他 5 ページ）の操作 (15:12～15:17) / サイボウズ（ワークフロー（最新一覧））の操作 (15:14～15:16) / サイボウズ（ワークフロー（送信一覧））の操作 (15:14～15:19) / サイボウズ（申請データの詳細）の操作 (15:14～15:19) / サイボウズ（未処理申請の処理）の操作 (15:15～15:16) / サイボウズ（メッセージの送信）の操作 (15:16～15:27, 16:34～16:50)"
2026/04/24,システム開発,16:51,16:51,0:05,Antigravityでの「システム開発・改善」の開発・相談 (16:51～16:51)
2026/04/24,メール対応,09:07,09:08,0:05,メールの閲覧・作成 (09:07～09:08)
2026/04/24,事務・データ処理,08:59,17:42,1:23,"Excel（IT規制Webサイト設定_v3.xlsx）の入力・編集 (08:59～08:59, 09:41～09:41, 10:47～11:05, 11:29～11:29, 15:09～15:09, 15:38～15:38, 16:17～16:19) / Excel（2026年4月度【社員】勤怠申請・承認のご依頼0424.xlsx ）の入力・編集 (15:09～15:09, 16:18～16:19) / Excel（IT規制Webサイト設定.xlsx）の入力・編集 (16:17～16:18) / Excel（起動しています）の入力・編集 (16:45～16:45, 17:28～17:33) / Excel（IT規制Webサイト設定_v3.xlsx ）の入力・編集 (16:45～16:50, 17:28～17:42) / Excel（コピーIT規制Webサイト設定_v3.xlsx ）の入力・編集 (16:50～16:55)"
2026/04/24,情報調査,08:59,19:05,8:17,"Web（192.169.5.5）の調査 (08:59～10:17, 10:59～10:59, 11:29～12:45, 13:06～14:45, 16:09～16:28, 16:46～17:14) / Web（10.85.33.223）の調査 (09:02～09:41, 10:01～10:14, 10:46～11:07, 11:35～12:46, 13:09～15:03, 17:32～18:11) / Web（accounts.secure.freee.co.jp/sessions/new?redirect_url=https%3A%2F%2Fp.secure.freee.co.jp%2Fusers%2Fafter_login%3Fhash%3D&service_name=payroll&sign_up_url=https%3A%2F%2Faccounts.secure.freee.co.jp%2Fsign_up%3Finitial_service%3Dpayroll%26login_url%3Dhttps%253A%252F%252Fp.secure.freee.co.jp%252F%26prefer%3Demail%26redirect_url%3Dhttps%253A%252F%252Fp.secure.freee.co.jp%252Factivation%26service_name%3Dpayroll%26verification_type%3Dcode および他 3 ページ）の調査 (09:02～09:07) / Web（リモート デスクトップ接続 のジャンプ リスト）の調査 (09:02～09:02, 09:46～09:46, 16:09～16:09, 16:28～16:28, 16:47～16:48) / Web（リモート デスクトップ接続）の調査 (09:03～09:03, 09:38～09:46, 15:03～15:03, 16:09～16:10, 16:28～16:28, 16:46～17:32) / Web（インフォメーション および他 3 ページ）の調査 (09:07～09:12) / Web（インフォメーション）の調査 (09:07～09:12) / Web（サイト名と危険度を列に追加）の調査 (09:10～09:15) / Web..."
2026/04/27,その他,10:02,17:45,2:37,"スタート (10:02～10:02, 10:42～10:42, 17:17～17:22) / 拡張機能 (10:15～10:27, 17:02～17:07) / 拡張機能 - Google Chrome (10:16～10:16, 10:44～10:49) / 翻訳済み (10:17～10:22) / ブラウザ - Google Chrome (10:17～10:18) / Qiita (10:38～10:38) / Qiita - Google Chrome (10:38～10:43) / Figma (10:55～10:58, 16:34～16:34) / Figma - Google Chrome (10:55～11:00) / 作成完了 (11:20～11:20, 13:00～13:01, 14:02～14:07) / プロパティ (11:39～11:44) / Gmail (13:23～13:23, 13:39～13:39) / Gmail - Google Chrome (13:23～13:23, 13:39～13:44) / ようこそ - Google Chrome (13:24～13:39) / Excel (16:41～16:41, 17:45～17:50) / x.com - Google Chrome (16:54～16:59) / X - Google Chrome (16:54～16:59) / 0% 完了 (17:11～17:12)"
2026/04/27,サイボウズ関連,08:58,18:02,4:52,"サイボウズ（トップページ）の操作 (08:58～09:08, 09:46～09:46) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MyFolderIndex および他 1 ページ）の操作 (08:58～09:03) / サイボウズ（個人フォルダ）の操作 (08:58～09:20, 09:37～10:47, 11:06～11:19, 14:02～14:02, 15:48～15:48, 16:18～16:19) / サイボウズ（メッセージの詳細）の操作 (08:58～09:20, 09:46～09:49, 10:08～10:23, 10:40～10:40, 11:07～11:19, 16:19～16:22) / サイボウズ（スケジュール（グループ週表示））の操作 (09:00～09:00, 15:49～15:49) / サイボウズ（ファイルの詳細）の操作 (09:00～09:08) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=FileView&fCID=1247805&fFID=1251933 および他 2 ページ）の操作 (09:00～09:05) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MyFolderIndex および他 2 ページ）の操作 (09:01～09:01, 10:22～10:27) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=FileView&fCID=1247805&fFID=1255601 および他 3 ページ）の操作 (09:05～09:10) / サイボウズ（ワークフロー（最新一覧））の操作 (09:08～09:08, 09:38～09:38, 10:47～10:52) / サイボウズ（ワークフロー（送信一覧））の操作 (09:08～09:08, 09:38～09:43) / サイボウズ（申請データの詳細）の操作 (09:08～09:20, 09:38～09:50) / サイボウズ（メッセージの送信（再利用））の操作 (09:20～09:31, 09:50～09:54) / サイボウズ（メッセージの変更（標題・本文））の操作 (09:46～09:51) / サイボウズ..."
2026/04/27,システム開発,10:02,17:58,2:11,"Antigravityでの「システム開発・改善」の開発・相談 (10:02～10:23, 10:56～11:11, 11:30～11:36, 11:52～12:10, 12:56～13:07, 17:17～17:22, 17:38～17:58) / プログラム（Update tool scripts and cleanup TEST directory）の開発・修正 (10:04～10:09)"
2026/04/27,メール対応,11:11,14:02,2:03,"メールの閲覧・作成 (11:11～11:59, 12:56～14:02)"
2026/04/27,事務・データ処理,09:00,17:45,2:50,"Excel（IT規制Webサイト設定_v3.xlsx ）の入力・編集 (09:00～09:00, 10:02～10:02, 14:27～14:28, 16:31～16:32) / Excel（2026年4月度【社員】勤怠申請・承認のご依頼0417.xlsx ）の入力・編集 (09:00～09:05) / Excel（2026年4月度【社員】勤怠申請・承認のご依頼0424.xlsx ）の入力・編集 (09:05～09:10) / PDF（20260420_OA中古ノートPC７台購入_④稟議書（システム関連,社長決裁）20230701 (1).pdf および他 3 ページ）の確認 (09:38～09:54) / PDF（20260420_OA中古ノートPC７台購入_④稟議書（システム関連,社長決裁）20230701 (1).pdf）の確認 (09:38～09:38, 16:34～16:34) / PDF（acrobat.adobe.com/dc-chrome-extension/mv/ja/Acrobat-for-Chrome.pdf）の確認 (10:17～10:22) / PDF（Acrobat-for-Chrome.pdf）の確認 (10:17～10:17) / Excel（20260427_ログ表示結果-20260416175217.xlsx ）の入力・編集 (14:27～14:27, 16:24～16:29) / Excel（20260427_ログ表示結果-20260416175217）の入力・編集 (14:28～14:53, 15:13～15:14, 16:23～17:13) / Excel（成川.csv）の入力・編集 (14:53～14:56, 16:31～16:31, 17:06～17:06) / Excel（成川_ログ検索結果-20260405.csv）の入力・編集 (16:43～16:45, 17:04～17:06) / Excel（成川_ログ検索結果-20260409.csv）の入力・編集 (16:49～16:51) / Excel（成川_ログ検索結果-20260415.csv）の入力・編集 (17:13～17:45) / Excel（test_excel_01.xlsx）の入力・編集 (17:45～17:50)"
2026/04/27,情報調査,07:40,18:09,7:46,"Web（dek.encrypted.settings）の調査 (07:40～07:45) / Web（インフォメーション および他 1 ページ）の調査 (08:58～09:03) / Web（インフォメーション）の調査 (08:58～09:08, 09:46～09:46, 18:03～18:08) / Web（10.85.33.223）の調査 (09:03～09:03, 09:51～09:51, 14:02～14:02, 14:20～14:20) / Web（セキュリティ 脆弱性）の調査 (09:09～09:22) / Web（「Google Chrome 147」に19件の脆弱性、修正版が公開）の調査 (09:09～09:10) / Web（川井一仁が明かす「忘れられないセナとのケンカ」 (2ページ目) | web Sportiva (スポルティーバ)）の調査 (09:09～09:09, 10:44～10:49) / Web（Google Gemini）の調査 (09:09～09:09, 14:44～14:52, 15:08～15:10, 16:29～16:38, 17:01～17:01) / Web（社内SEの仕事なんでも相談）の調査 (09:10～09:10, 09:44～09:44, 10:11～10:11, 14:44～14:44) / Web（Acrobat Reader 脆弱性アップデート案内）の調査 (09:10～09:43) / Web（「Microsoft Edge」にセキュリティ更新 ～「Chromium」の脆弱性2件に対処）の調査 (09:10～09:11) / Web（致命的な脆弱性に対処したAndroid OSの2026年4月セキュリティ更新が発表）の調査 (09:22～09:24, 16:34～16:34) / Web（Windows シェル エクスペリエンス ホスト）の調査 (09:28～09:28, 13:38～13:38, 15:37～15:37, 17:01～17:06) / Web（AMAZON）の調査 (09:38～09:42) / Web（Amazon | 本, ファッション, 家電から食品まで | アマゾン）の調査 (09:38～09:43) / Web（Amazon.co.jp: 【整備済み品】 ノートパソコン ..."
2026/04/28,その他,09:59,23:35,1:42,"Meet (09:59～09:59) / Excel (11:39～11:39, 13:47～14:02) / Word (13:41～13:45, 14:03～14:04, 14:28～14:28, 16:23～16:24, 17:50～17:50, 22:53～23:08, 23:33～23:35) / 閲覧の再開 (13:43～13:48) / 検索と置換 (16:26～16:27, 16:56～17:04, 17:24～17:24, 22:53～22:58)"
2026/04/28,サイボウズ関連,09:58,16:52,0:47,"サイボウズ（forestway.cybozu.com および他 3 ページ）の操作 (09:58～10:03) / サイボウズ（トップページ）の操作 (09:58～10:03) / サイボウズ（スケジュール（グループ週表示））の操作 (09:58～09:58, 15:06～15:11) / サイボウズ（予定の詳細）の操作 (09:58～09:59, 10:47～10:47, 15:06～15:06, 15:59～16:04) / サイボウズ（ワークフロー（最新一覧））の操作 (10:47～10:47, 13:02～13:07) / サイボウズ（ワークフロー（受信一覧））の操作 (10:47～10:48) / サイボウズ（ワークフローの検索）の操作 (10:47～10:48) / サイボウズ（申請データの詳細）の操作 (10:47～10:49, 11:39～11:44) / サイボウズ（ファイル管理）の操作 (11:39～11:39, 13:02～13:07) / サイボウズ（申請データの作成（申請フォームの選択））の操作 (13:02～13:07) / サイボウズ（申請データの作成（内容の入力））の操作 (13:02～13:04) / サイボウズ（申請の作成（経路の設定））の操作 (13:04～13:09) / サイボウズ（申請の作成（内容の確認））の操作 (13:04～13:04) / サイボウズ（ワークフロー（送信一覧））の操作 (13:04～13:11, 15:06～15:11) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=ScheduleIndex および他 4 ページ）の操作 (15:06～15:11) / サイボウズ（個人フォルダ）の操作 (15:59～15:59) / サイボウズ（メッセージの詳細）の操作 (15:59～15:59, 16:52～16:52)"
2026/04/28,システム開発,08:55,23:54,3:52,"Antigravityでの「システム開発・改善」の開発・相談 (08:55～09:03, 09:25～09:25, 10:07～10:07, 11:56～11:56, 13:11～13:11, 15:55～15:55, 17:05～17:31, 17:46～18:09, 18:28～18:29, 21:57～23:54) / プログラム（feat: 残業調査報告書の自動生成ツール（Gemini AI要約・Word出力対応）を追加）の開発・修正 (21:49～21:54) / プログラム（fix: Wordファイルを開いたままでもエラーにならず別名保存する機能を追加）の開発・修正 (21:53～21:58) / プログラム（fix: アプリケーションの分類名を過去の資料に準拠したフォーマットに変更し、NANや長いURLを丸めるように修正）の開発・修正 (22:10～22:15) / プログラム（fix: Wordの出力ヘッダーを過去資料と完全に一致させるように修正（曜日、推測される作業時間の自動計算等））の開発・修正 (22:12～22:17) / プログラム（feat: 複数のCSVファイルを一括で選択・連続処理できるバッチ機能を追加）の開発・修正 (22:26～22:31) / プログラム（fix: NAS上のCSV読み込み時の文字コードエラーを回避するため、複数のエンコーディングを自動試行する安全機能を実装）の開発・修正 (22:37～22:42) / プログラム（feat: 勤怠マスタのH列またはL列が赤色（背景色あり）になっている「監査対象日」のみを抽出・出力する機能を実装）の開発・修正 (22:46～22:51) / プログラム（fix: 監査対象日の判定をセルの背景色ではなく、文字色が赤等に変更されている箇所を検知するように修正）の開発・修正 (22:48～22:53) / プログラム（fix: 早出サービス残業対策としてA列の文字色が赤くなっている場合も監査対象として検知するように追加）の開発・修正 (22:57～23:02) / プログラム（fix: 複数日が含まれるCSVのファイル名から対象者を推測する際、マスタの全氏名と照合する安全なロジックに変更）の開発・修正 (23:12～23:17) / プログラム（fix: 年のズレによる監査対象漏..."
2026/04/28,メール対応,11:47,15:55,0:11,"メールの閲覧・作成 (11:47～11:49, 15:55～16:00)"
2026/04/28,事務・データ処理,10:24,23:49,5:08,"Excel（(GoogleGeminiGem元)20260428?PCモニター・切り替え機購入の件?④稟議書（システム関連,社長決裁）20230701.xlsx）の入力・編集 (10:24～10:26) / Excel（20250617_基幹用NAS購入について_④稟議書（システム関連,社長決裁）20230701.xlsx）の入力・編集 (10:29～10:34) / PDF（20251218?(完成)東日本物流3階休憩室フリーWi-Fi設置の件?④稟議書（システム関連,社長決裁）20230701.pdf）の確認 (10:29～10:34) / PDF（【営業統括部】_仕事用スマートフォン貸与稟議書_2025.11.19(提出用).pdf および他 4 ページ）の確認 (10:49～10:49, 11:26～11:39) / PDF（【営業統括部】_仕事用スマートフォン貸与稟議書_2025.11.19(提出用).pdf）の確認 (10:49～10:54) / Excel（20260428_システム部向け保有スマホ２台貸与台_④稟議書（システム関連,社長決裁）20230701.xlsx）の入力・編集 (11:01～11:58, 12:57～13:01) / Excel（20260420_OA中古ノートPC７台購入_④稟議書（システム関連,社長決裁）20230701.xlsx）の入力・編集 (11:41～11:41, 12:57～13:05) / PDF（フォーレスト様お見積もり20241127.pdf）の確認 (11:41～11:44) / PDF（お見積書_1262207(1台).pdf）の確認 (11:42～11:45) / PDF（フォーレスト様お見積もり20250606.pdf）の確認 (11:43～11:57) / PDF（フォーレスト株式会社_伊藤様_20240423.pdf）の確認 (11:44～11:44) / PDF（フォーレスト様お見積もり20251118.pdf）の確認 (11:45～11:51) / PDF（御見積書25.6.9.pdf）の確認 (11:46～11:46) / PDF（【商品部】社用携帯電話（スマートフォン　高坂担当課長分）支給の件.pdf）の確認 (11:46～11:51) / PDF（20260428_システム部向け保..."
2026/04/28,情報調査,08:58,23:54,9:15,"Web（accounts.secure.freee.co.jp/sessions/new?redirect_url=https%3A%2F%2Fp.secure.freee.co.jp%2Fusers%2Fafter_login%3Fhash%3D&service_name=payroll&sign_up_url=https%3A%2F%2Faccounts.secure.freee.co.jp%2Fsign_up%3Finitial_service%3Dpayroll%26login_url%3Dhttps%253A%252F%252Fp.secure.freee.co.jp%252F%26prefer%3Demail%26redirect_url%3Dhttps%253A%252F%252Fp.secure.freee.co.jp%252Factivation%26service_name%3Dpayroll%26verification_type%3Dcode および他 2 ページ）の調査 (08:58～09:03) / Web（36% 完了）の調査 (09:08～09:13) / Web（41% 完了）の調査 (09:08～09:13) / Web（64% 完了）の調査 (09:08～09:13) / Web（86% 完了）の調査 (09:08～09:13) / Web（99% 完了）の調査 (09:08～09:08, 22:08～22:13) / Web（100% 完了）の調査 (09:08～09:08, 22:08～22:13) / Web（システム トレイ オーバーフロー ウィンドウ。）の調査 (09:08～09:13) / Web（サービス残業調査報告書作成）の調査 (09:16～09:16, 13:13～13:35, 14:05～14:05, 14:23～14:56, 15:51～17:17) / Web（社内SEの仕事なんでも相談）の調査 (09:16～09:25, 09:45～09:45, 10:08～10:21) / Web（alert_scawtemp.log）の調査 (09:49～09:54) / Web（192.169.5.5）の調査 (09:58～10:00, 14:07～14:22, 14:54～14:54, 15:59～16..."
2026/04/29,その他,00:13,00:49,0:40,Word (00:13～00:49) / Excel (00:44～00:48)
2026/04/29,システム開発,00:13,10:21,0:23,"Antigravityでの「システム開発・改善」の開発・相談 (00:13～00:13, 00:40～00:48, 10:21～10:26)"
2026/04/29,メール対応,00:38,00:38,0:05,メールの閲覧・作成 (00:38～00:43)
2026/04/29,事務・データ処理,00:26,00:47,0:26,"Excel（岸川_ログ検索結果-20260401_20260404.csv）の入力・編集 (00:26～00:44) / Excel（20260427_ログ表示結果-20260416175217）の入力・編集 (00:26～00:26, 00:42～00:47) / Excel（成川_ログ検索結果-20260409.csv）の入力・編集 (00:44～00:44)"
2026/04/29,情報調査,00:12,19:33,2:19,"Web（ファイル選択 (1/3)）の調査 (00:12～00:12, 00:40～00:48) / Web（勤怠マスタ(Excel)を選択）の調査 (00:12～00:12, 00:40～00:48) / Web（ファイル選択 (2/3)）の調査 (00:12～00:12, 00:40～00:48) / Web（PC操作ログ(CSV)を複数選択）の調査 (00:12～00:12, 00:40～00:48) / Web（フォルダ選択 (3/3)）の調査 (00:12～00:12, 00:40～00:48) / Web（報告書の保存先フォルダを選択）の調査 (00:12～00:12, 00:40～00:48) / Web（残業調査報告書_岸川恭士_20260401.docx ）の調査 (00:13～00:18) / Web（起動しています）の調査 (00:13～00:49) / Web（残業調査報告書_岸川恭士_20260402.docx ）の調査 (00:13～00:18) / Web（残業調査報告書_岸川恭士_20260411.docx ）の調査 (00:24～00:39) / Web（残業調査報告書_岸川恭士_20260408.docx ）の調査 (00:25～00:30) / Web（残業調査報告書_岸川恭士_20260409.docx ）の調査 (00:39～00:44) / Web（残業調査報告書_成川真菜社員_20260404.docxのプロパティ）の調査 (00:41～00:46) / Web（残業調査報告書_成川真菜_20260415.docxのプロパティ）の調査 (00:46～00:51) / Web（残業調査報告書_成川真菜_20260404.docx ）の調査 (00:46～00:51) / Web（残業調査報告書_成川真菜_20260405.docx ）の調査 (00:49～00:54) / Web（Google マップ）の調査 (00:50～01:02) / Web（若松河田）の調査 (00:51～00:56) / Web（若松河田駅）の調査 (00:51～00:51) / Web（本千葉駅 から 若松河田駅）の調査 (00:52～00:52) / Web（本千葉駅 から ミズノヤ）の調査 (00:52～01:01) / Web（高柳 ..."
2026/04/30,その他,09:07,17:49,2:02,"Word (09:07～09:12) / スタート (09:09～09:09, 10:20～10:20, 11:58～11:58, 14:02～14:11, 14:42～14:42, 17:14～17:19) / 契約状況 (09:51～09:56) / Excel (10:41～10:41, 13:46～13:59, 14:17～14:17, 14:59～14:59, 15:21～15:26) / 0% 完了 (11:12～11:18, 13:58～13:58, 17:07～17:12) / 3% 完了 (13:58～14:03) / 保存エラー (16:34～16:45) / お知らせ (17:07～17:12) / 属性の詳細 (17:49～17:54)"
2026/04/30,サイボウズ関連,08:58,18:05,2:20,"サイボウズ（forestway.cybozu.com/login?redirect=https%3A%2F%2Fforestway.cybozu.com%2F および他 1 ページ）の操作 (08:58～08:58, 11:37～11:42) / サイボウズ（forestway.cybozu.com および他 1 ページ）の操作 (08:58～09:03) / サイボウズ（トップページ）の操作 (08:58～08:58, 09:50～09:51, 11:37～11:37, 13:16～13:16, 16:46～16:51) / サイボウズ（ワークフロー（最新一覧））の操作 (08:58～09:08) / サイボウズ（ワークフロー（送信一覧））の操作 (08:58～09:03) / サイボウズ（申請データの詳細）の操作 (08:59～09:08) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=WorkFlowIndex および他 1 ページ）の操作 (09:08～09:13) / サイボウズ（未処理申請の処理）の操作 (09:08～09:13) / サイボウズ（差し戻された申請の処理）の操作 (09:08～09:08) / サイボウズ（個人フォルダ）の操作 (09:08～09:33, 11:03～11:25, 13:16～13:16, 16:46～16:47, 17:58～17:58) / サイボウズ（メッセージの詳細）の操作 (09:08～09:08, 09:35～09:50, 16:46～17:04, 17:58～18:05) / サイボウズ（システム設定）の操作 (09:30～09:30) / サイボウズ（メッセージ）の操作 (09:30～09:30) / サイボウズ（一般設定）の操作 (09:30～09:35) / サイボウズ（個人フォルダの詳細検索）の操作 (09:30～09:35) / サイボウズ（個人設定）の操作 (09:30～09:32) / サイボウズ（個人設定（個人フォルダ））の操作 (09:31～09:32) / サイボウズ（振り分け保存の設定）の操作 (09:31～09:33) / サイボウズ（振り分け保存の変更）の操作 (09:31～09:31) / サイボウズ（振り分け保存の削除）の操作 (09..."
2026/04/30,システム開発,09:09,17:50,7:26,"Antigravityでの「システム開発・改善」の開発・相談 (09:09～11:58, 13:01～15:49, 16:15～17:50)"
2026/04/30,事務・データ処理,08:59,17:03,3:24,"PDF（20260428_システム部向け保有スマホ２台貸与_④稟議書（システム関連,社長決裁）20230701.pdf および他 2 ページ）の確認 (08:59～09:07) / PDF（20260428_システム部向け保有スマホ２台貸与_④稟議書（システム関連,社長決裁）20230701.pdf）の確認 (08:59～09:04) / PDF（FRT組織図-20260401 (1).pdf および他 3 ページ）の確認 (09:50～09:55) / PDF（FRT組織図-20260401 (1).pdf）の確認 (09:50～09:55) / Excel（sasajima_work_log.csv）の入力・編集 (10:02～10:04, 10:20～10:20, 10:41～10:42) / Excel（営業部_ログ検索結果-20260416140900.csv）の入力・編集 (10:41～10:46) / PDF（【人事通達】2026年4月1日付人事発令.pdf および他 3 ページ）の確認 (13:16～13:21) / PDF（【人事通達】2026年4月1日付人事発令.pdf）の確認 (13:16～13:21) / PDF（FRT組織図-20260401 (2).pdf および他 3 ページ）の確認 (13:16～13:36) / PDF（FRT組織図-20260401 (2).pdf）の確認 (13:16～13:21) / Excel（WorkLog_Unified.xlsx）の入力・編集 (13:44～13:59) / Excel（TEST.xlsx）の入力・編集 (14:07～14:17, 14:52～15:00, 15:21～15:44, 16:28～16:49) / Excel（新規タスク記録表.xlsx）の入力・編集 (15:39～15:43, 16:15～17:03)"
2026/04/30,情報調査,08:56,18:06,7:47,"Web（Google Chrome）の調査 (08:56～08:56, 14:13～14:18) / Web（APIエラー503の原因と対策）の調査 (08:56～08:56, 14:02～14:13) / Web（Google）の調査 (08:56～08:57, 09:19～09:19, 14:02～14:13, 15:20～15:25) / Web（Google Cloud Service Health）の調査 (08:56～08:56, 14:02～14:02) / Web（API keys | Google AI Studio）の調査 (08:56～08:57, 14:02～14:02) / Web（Gemini 3.1 Pro プレビュー版 ?|? Gemini API ?|? Google AI for Developers）の調査 (08:56～08:56, 14:02～14:07) / Web（Usage | Google AI Studio）の調査 (08:56～08:57, 09:21～09:21, 14:02～14:02) / Web（Gemini 3.1 Pro プレビュー版  |  Gemini API  |  Google AI for Developers）の調査 (08:57～08:57, 14:02～14:07) / Web（AdBlock が更新されました！ および他 1 ページ）の調査 (08:58～09:03) / Web（インフォメーション および他 1 ページ）の調査 (08:58～08:58, 11:37～11:37, 16:46～16:51) / Web（インフォメーション）の調査 (08:58～08:58, 09:51～09:51, 11:37～11:37, 16:46～16:46, 18:05～18:10) / Web（起動しています）の調査 (09:06～09:06, 10:02～10:02, 10:41～10:41, 13:44～13:46, 14:07～14:07, 14:52～15:00, 15:21～15:34, 16:15～16:20) / Web（残業調査報告書_成川真菜社員_20260404.docx ）の調査 (09:06～09:11) / Web（github）の調査 (09:19～09:..."
2026/05/01,その他,09:16,17:55,1:04,"お知らせ (09:16～09:21) / スタート (11:20～11:20, 11:42～11:58, 12:38～12:38, 14:30～14:30, 17:45～17:55) / 名前の変更 (14:11～14:12) / 0% 完了 (14:15～14:20) / 5% 完了 (14:15～14:20)"
2026/05/01,サイボウズ関連,09:10,17:36,2:28,"サイボウズ（トップページ）の操作 (09:10～09:10, 09:58～10:04, 10:50～11:02) / サイボウズ（個人フォルダ）の操作 (09:11～09:11, 10:25～10:25, 12:04～12:04, 14:14～14:14, 14:51～14:51, 17:32～17:33) / サイボウズ（メッセージの詳細）の操作 (09:11～09:15, 10:25～10:30, 10:46～10:46, 12:04～12:04, 12:19～12:19, 13:55～13:55, 14:13～14:13, 17:32～17:37) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=FileIndex および他 2 ページ）の操作 (09:11～09:16) / サイボウズ（ファイル管理）の操作 (09:11～09:11, 10:53～11:02) / サイボウズ（スケジュール（グループ週表示））の操作 (09:11～09:11, 14:51～15:10, 15:43～15:51, 17:32～17:37) / サイボウズ（予定の詳細）の操作 (09:11～09:11, 14:57～14:57) / サイボウズ（forestway.cybozu.com/login?redirect=https%3A%2F%2Fforestway.cybozu.com%2F）の操作 (09:58～10:03) / サイボウズ（forestway.cybozu.com）の操作 (09:58～10:03) / サイボウズ（ワークフロー（最新一覧））の操作 (09:58～10:04, 10:46～10:56, 14:14～14:19) / サイボウズ（差し戻された申請の処理）の操作 (09:58～10:04, 10:46～10:56) / サイボウズ（申請データの作成（内容の入力））の操作 (09:58～10:04, 10:52～11:07) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=WorkFlowRoute&id=17385&wid=287610&wDID=&fid=&SP=&cp=ww&resend=1&ssid=1-3508-2146907-u3068）の操作 (10:03～..."
2026/05/01,システム開発,09:18,18:59,1:06,"Antigravityでの「システム開発・改善」の開発・相談 (09:18～09:28, 10:31～10:41, 11:20～11:23, 11:39～11:53, 12:19～12:19, 18:59～19:04) / プログラム（Update Workmemo tools and add test scripts）の開発・修正 (10:42～10:47)"
2026/05/01,メール対応,17:36,17:49,0:18,メールの閲覧・作成 (17:36～17:49)
2026/05/01,事務・データ処理,09:10,13:42,1:32,"Excel（新規タスク記録表.xlsx）の入力・編集 (09:10～09:10, 13:00～13:05) / Excel（20260428_システム部向け保有スマホ２台貸与台_④稟議書（システム関連,社長決裁）20230701.xlsx）の入力・編集 (09:38～09:59) / Excel（20260501_システム部向け保有スマホ２台貸与台_④稟議書（システム関連,社長決裁）20230701.xlsx）の入力・編集 (09:59～10:04, 10:47～10:55) / PDF（20260501_システム部向け保有スマホ２台貸与台_④稟議書（システム関連,社長決裁）20230701.pdf）の確認 (09:59～10:02, 10:49～10:49) / Excel（②稟議書（通常稟議,社長決裁）20240701.xlsx ）の入力・編集 (10:54～10:58) / PDF（20260501_システム部向け保有スマホ２台貸与_②稟議書（通常稟議,社長決裁）20240701.pdf および他 1 ページ）の確認 (10:58～11:01) / PDF（20260501_システム部向け保有スマホ２台貸与_②稟議書（通常稟議,社長決裁）20240701.pdf）の確認 (10:58～11:10) / Excel（本社_担当一覧202604.xlsx ）の入力・編集 (11:02～11:07) / PDF（FRT組織図-20260201.pdf）の確認 (11:04～11:04) / PDF（【人事通達】2026年2月1日付人事発令.pdf および他 3 ページ）の確認 (11:04～11:09) / PDF（【人事通達】2026年2月1日付人事発令.pdf）の確認 (11:04～11:04) / PDF（【人事通達】2026年3月1日付人事発令.pdf）の確認 (11:04～11:04) / PDF（【人事通達】2026年3月1日付人事発令.pdf および他 3 ページ）の確認 (11:04～11:09) / PDF（【人事通達】2025年8月1日付人事発令.pdf）の確認 (11:04～11:04) / PDF（【人事通達】2025年8月1日付人事発令.pdf および他 3 ページ）の確認 (11:04～11:09) / PDF（FRT組織図-202..."
