日付,時間帯,主な作業・検討内容
2026/04/21,12:00 - 12:59,"Antigravityを用いた「システム開発・改善」の開発・相談
Webサイト（Amazon.co.jp: 【整備済み品】 ノートパソコン NEC Versapro VM-9 14インチ フルHD Core i5-1135G7 第11世代 Windows11 Office 搭載 カメラ Wi-Fi6 type-C PC パソコン (SSD:256GB メモリ:16GB) : パソコン・周辺機器 - Comet）の閲覧・調査
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
「起動しています」の操作・実務
Excelファイル（elements_list.xlsx）のデータ入力・編集
Webサイト（Web抽出レポート）の閲覧・調査
「context.json」の操作・実務
スクリプト（test.bat - メモ帳）の開発・デバッグ"
2026/04/21,13:00 - 13:59,"Antigravityを用いた「システム開発・改善」の開発・相談
Webサイト（トップページ - サイボウズ Office）の閲覧・調査
Webサイト（ユーザー情報の変更）の閲覧・調査
スクリプト（test.bat - メモ帳）の開発・デバッグ
「起動しています」の操作・実務
Excelファイル（elements_list.xlsx）のデータ入力・編集
「context.json」の操作・実務
Webサイト（Gemini）の閲覧・調査
Webサイト（ToDo リスト）の閲覧・調査
Webサイト（iLovePDF | PDFファンのためのオンラインツール）の閲覧・調査
Webサイト（Downdetector - リアルタイムのサービス問題と障害を確認 - JP）の閲覧・調査
「Downdetector」の操作・実務
Webサイト（リアルタイム震度（強震モニタ） - Yahoo!天気・災害）の閲覧・調査
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（ワークフロー（最新一覧） - サイボウズ Office）の閲覧・調査
Webサイト（ワークフロー（送信一覧） - サイボウズ Office）の閲覧・調査
Webサイト（申請データの詳細 - サイボウズ Office）の閲覧・調査"
2026/04/21,14:00 - 14:59,"Antigravityを用いた「システム開発・改善」の開発・相談
「受信トレイ (13,088)」の操作・実務
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（メッセージの詳細 - サイボウズ Office）の閲覧・調査
Webサイト（Authorization needed）の閲覧・調査
Webサイト（Authorization Status）の閲覧・調査
Webサイト（社内専用PDF編集ツール）の閲覧・調査
「PDF24 Toolbox」の操作・実務
Webサイト（トップページ - サイボウズ Office）の閲覧・調査
Webサイト（メール - サイボウズ Office）の閲覧・調査
Webサイト（スケジュール（グループ週表示） - サイボウズ Office）の閲覧・調査"
2026/04/21,15:00 - 15:59,"Antigravityを用いた「システム開発・改善」の開発・相談
Webサイト（【2026年3月最新】Geminiは無制限に使えるの？利用制限早見表 • Zenken AI）の閲覧・調査
Webサイト（【2026年3月最新】Geminiは無制限に使えるの？利用制限早見表 ? Zenken AI）の閲覧・調査
Webサイト（Amazon.co.jp: 【整備済み品】 ノートパソコン NEC Versapro VM-9 14インチ フルHD Core i5-1135G7 第11世代 Windows11 Office 搭載 カメラ Wi-Fi6 type-C PC パソコン (SSD:256GB メモリ:16GB) : パソコン・周辺機器 - Comet）の閲覧・調査"
2026/04/21,16:00 - 16:59,"Antigravityを用いた「システム開発・改善」の開発・相談
Webサイト（トップページ - サイボウズ Office）の閲覧・調査
Webサイト（メール - サイボウズ Office）の閲覧・調査
「spider_structure_map.json」の操作・実務
スクリプト（test.bat - メモ帳）の開発・デバッグ
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（受信トレイ - t_ito@forest.co.jp）の閲覧・調査
Webサイト（NTTドコモ - t_ito）の閲覧・調査
Webサイト（1.システム部（福岡） - t_ito）の閲覧・調査
Webサイト（2.システム運営課 - t_ito）の閲覧・調査
Webサイト（KDDI SMSM通知 - t_ito）の閲覧・調査
Webサイト（FUJIFILM - t_ito）の閲覧・調査
「PDF24 Toolbox」の操作・実務"
2026/04/21,17:00 - 17:59,"Antigravityを用いた「システム開発・改善」の開発・相談
「spider_structure_map.json」の操作・実務
Webサイト（AIにおける次の大きなトレンドは「ダークファクトリー」 | Business Insider Japan）の閲覧・調査
「Cybozu Exporter V6.20」の操作・実務
Webサイト（トップページ - サイボウズ Office）の閲覧・調査
Webサイト（メール - サイボウズ Office）の閲覧・調査
Webサイト（イタリア自動車雑貨店ショッピング - Yahoo!ショッピング）の閲覧・調査
Webサイト（イタリア自動車雑貨店 | イタリア車のパーツ、アクセサリーとグッズの公式オンラインショップ）の閲覧・調査
Webサイト（メールの詳細 - サイボウズ Office）の閲覧・調査
「Cybozu Exporter V6.22」の操作・実務"
2026/04/21,18:00 - 18:59,"「Cybozu Exporter V6.22」の操作・実務
Webサイト（トップページ - サイボウズ Office）の閲覧・調査
Webサイト（メール - サイボウズ Office）の閲覧・調査
Antigravityを用いた「システム開発・改善」の開発・相談
「Cybozu Exporter V6.23」の操作・実務"
2026/04/22,09:00 - 09:59,"Antigravityを用いた「システム開発・改善」の開発・相談
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（メッセージの詳細 - サイボウズ Office）の閲覧・調査
Webサイト（ワークフロー（最新一覧） - サイボウズ Office）の閲覧・調査
Webサイト（ワークフロー（送信一覧） - サイボウズ Office）の閲覧・調査
Webサイト（申請データの詳細 - サイボウズ Office）の閲覧・調査
Webサイト（FUJIFILM - t_ito）の閲覧・調査
PDF資料（NW見積書 フォーレスト様向けノートPC_20260415.pdf）の閲覧・内容確認
Webサイト（ノートPCの御見積書送付）の閲覧・調査
Webサイト（Re: 年間スケジュール変更の件）の閲覧・調査
Webサイト（年間スケジュール変更の件）の閲覧・調査
Webサイト（Bizストレージ ファイルシェア）の閲覧・調査
Webサイト（受信トレイ - t_ito）の閲覧・調査
「Cybozu Exporter V6.22」の操作・実務
「Cybozu Exporter V6.23」の操作・実務
Webサイト（インフォメーション）の閲覧・調査
Webサイト（トップページ - サイボウズ Office）の閲覧・調査
Webサイト（メール - サイボウズ Office）の閲覧・調査
スクリプト（test.bat - メモ帳）の開発・デバッグ
「spider_structure_map.json」の操作・実務
Webサイト（Amazon.co.jp: 【整備済み品】 ノートパソコン NEC Versapro VM-9 14インチ フルHD Core i5-1135G7 第11世代 Windows11 Office 搭載 カメラ Wi-Fi6 type-C PC パソコン (SSD:256GB メモリ:16GB) : パソコン・周辺機器 - Comet）の閲覧・調査
「起動しています」の操作・実務
Excelファイル（③2025年度下期_行動評価シート（様式②~⑤）.xlsx）のデータ入力・編集
Webサイト（Gemini）の閲覧・調査"
2026/04/22,10:00 - 10:59,"Excelファイル（③2025年度下期_行動評価シート（様式②~⑤）.xlsx）のデータ入力・編集
「起動しています」の操作・実務
Excelファイル（2025年度下期_業績評価シート【3068伊藤健人】 (2).xlsx）のデータ入力・編集
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（メッセージの詳細 - サイボウズ Office）の閲覧・調査
PDF資料（Application_Whitelisting_Strategy.pdf）の閲覧・内容確認
Webサイト（NotebookLM）の閲覧・調査
Webサイト（Creating Notebook...）の閲覧・調査
Webサイト（Silent Delivery: A Technical Roadmap for Whitelist Implementation - NotebookLM）の閲覧・調査
Webサイト（Acrobat 拡張機能を有効にする）の閲覧・調査
Webサイト（メッセージの送信 - サイボウズ Office）の閲覧・調査
「Cybozu Exporter V6.23」の操作・実務
Antigravityを用いた「システム開発・改善」の開発・相談
「ツールの一覧について」の操作・実務
Webサイト（ツールの一覧について - Microsoft Edge Developer documentation | Microsoft Learn）の閲覧・調査
Webサイト（メール本文 - サイボウズ Office）の閲覧・調査
「Cybozu Exporter V6.24」の操作・実務
「Cybozu Exporter V6.25」の操作・実務
「Cybozu Exporter V6.26」の操作・実務"
2026/04/22,11:00 - 11:59,"「Cybozu Exporter V6.26」の操作・実務
Webサイト（メール - サイボウズ Office）の閲覧・調査
Antigravityを用いた「システム開発・改善」の開発・相談
PDF資料（Application_Whitelisting_Strategy.pdf）の閲覧・内容確認
「Cybozu Exporter V6.28」の操作・実務
「Cybozu Exporter V6.27」の操作・実務
Webサイト（メールの詳細 - サイボウズ Office）の閲覧・調査
Webサイト（トップページ - サイボウズ Office）の閲覧・調査
Webサイト（ワークフロー（最新一覧） - サイボウズ Office）の閲覧・調査
Webサイト（ワークフロー（送信一覧） - サイボウズ Office）の閲覧・調査
Webサイト（申請データの詳細 - サイボウズ Office）の閲覧・調査
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
「Cybozu Exporter V6.29」の操作・実務
Webサイト（メール本文 - サイボウズ Office）の閲覧・調査
Webサイト（リアルタイム震度（強震モニタ） - Yahoo!天気・災害）の閲覧・調査"
2026/04/22,12:00 - 12:59,"Webサイト（メールの詳細 - サイボウズ Office）の閲覧・調査
Webサイト（メール - サイボウズ Office）の閲覧・調査
Antigravityを用いた「システム開発・改善」の開発・相談
Webサイト（Gmail）の閲覧・調査
Webサイト（受信トレイ (1,025) - ticsd0910@gmail.com - Gmail）の閲覧・調査
「受信トレイ (1,013)」の操作・実務
「Cybozu Exporter V6.30」の操作・実務"
2026/04/22,13:00 - 13:59,"「Cybozu Exporter V6.31」の操作・実務
Antigravityを用いた「システム開発・改善」の開発・相談
「Cybozu Exporter V6.32」の操作・実務
Webサイト（メール - サイボウズ Office）の閲覧・調査
「Cybozu Exporter V6.33」の操作・実務
Webサイト（メール本文 - サイボウズ Office）の閲覧・調査
「Cybozu Exporter V6.34」の操作・実務
Webサイト（Silent Delivery: A Technical Roadmap for Whitelist Implementation - NotebookLM）の閲覧・調査
Webサイト（AIにおける次の大きなトレンドは「ダークファクトリー」 | Business Insider Japan）の閲覧・調査
Webサイト（リアルタイム震度（強震モニタ） - Yahoo!天気・災害）の閲覧・調査
「Cybozu Exporter V6.35」の操作・実務
「Cybozu Exporter V6.36」の操作・実務
「Cybozu Exporter V6.37」の操作・実務
「Cybozu Exporter V6.38」の操作・実務
「Cybozu Exporter V6.40」の操作・実務
「20263251751_61522_RE_ 閲覧等制限／公取委からの連絡.txt」の操作・実務"
2026/04/22,14:00 - 14:59,"Antigravityを用いた「システム開発・改善」の開発・相談
「Cybozu Exporter V6.41」の操作・実務
Webサイト（メール - サイボウズ Office）の閲覧・調査
「Cybozu Exporter V6.42」の操作・実務
Webサイト（メール本文 - サイボウズ Office）の閲覧・調査
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（Gemini in Chrome - ブラウザに直接組み込まれた AI アシスタント）の閲覧・調査
Webサイト（Use Gemini in Chrome - Computer - Gemini アプリ ヘルプ）の閲覧・調査
Webサイト（Chrome で Gemini を使用する - コンピューター - Gemini アプリ ヘルプ）の閲覧・調査
Webサイト（Gmail）の閲覧・調査"
2026/04/22,15:00 - 15:59,"「フォレストウェイ | 事務・オフィス用品の通販」の操作・実務
Webサイト（エレコム カテゴリー5E LANケーブル 5m ホワイト LD-CTT WH5 RS 通販【フォレストウェイ】）の閲覧・調査
Webサイト（「LANケーブル　5M　白」(2ページ目) 通販【フォレストウェイ】）の閲覧・調査
Webサイト（「LANケーブル　5M　白」 通販【フォレストウェイ】）の閲覧・調査
Webサイト（エレコム LANケーブル CAT6A 簡易包装 5m LD-GPAT WH5 RS 通販【フォレストウェイ】）の閲覧・調査
PDF資料（【基本手順】Forestway承認機能_フォーレスト物品請求用_240927 (2).pdf）の閲覧・内容確認
Webサイト（注文申請内容確認 | フォレストウェイ）の閲覧・調査
Webサイト（注文申請完了 | フォレストウェイ）の閲覧・調査
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（ワークフロー（最新一覧） - サイボウズ Office）の閲覧・調査
Webサイト（スケジュール（グループ週表示） - サイボウズ Office）の閲覧・調査
Webサイト（ワークフロー（送信一覧） - サイボウズ Office）の閲覧・調査
Webサイト（申請データの詳細 - サイボウズ Office）の閲覧・調査
「Cybozu Exporter V6.42」の操作・実務"
2026/04/22,16:00 - 16:59,"「hosts」の操作・実務
「*hosts」の操作・実務
「C:\Windows\System32\drivers\etc\hosts」の操作・実務
「タイトルなし」の操作・実務
スクリプト（test.bat - メモ帳）の開発・デバッグ
Webサイト（無料大容量 ファイル転送サービス GigaFile(ギガファイル)便）の閲覧・調査
Webサイト（Re: 年間スケジュール変更の件）の閲覧・調査
Antigravityを用いた「システム開発・改善」の開発・相談
Webサイト（ギガファイル便 URL短縮サービス | XGF）の閲覧・調査"
2026/04/22,17:00 - 17:59,"Webサイト（年齢認証 - FANZA）の閲覧・調査
「Cybozu Exporter V6.42」の操作・実務"
2026/04/22,18:00 - 18:59,"Webサイト（firestorage 容量無制限のオンラインストレージ）の閲覧・調査
「TEST.xml」の操作・実務"
2026/04/23,09:00 - 09:59,"Webサイト（ワークフロー（最新一覧） - サイボウズ Office）の閲覧・調査
Webサイト（ワークフロー（送信一覧） - サイボウズ Office）の閲覧・調査
Webサイト（申請データの詳細 - サイボウズ Office）の閲覧・調査
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（メッセージの詳細 - サイボウズ Office）の閲覧・調査
Webサイト（Claude）の閲覧・調査"
2026/04/23,13:00 - 13:59,"Webサイト（Use Gemini in Chrome - Computer - Gemini アプリ ヘルプ）の閲覧・調査
Webサイト（メール本文 - サイボウズ Office）の閲覧・調査
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（Silent Delivery: A Technical Roadmap for Whitelist Implementation - NotebookLM）の閲覧・調査
Webサイト（リアルタイム震度（強震モニタ） - Yahoo!天気・災害）の閲覧・調査
Webサイト（AIにおける次の大きなトレンドは「ダークファクトリー」 | Business Insider Japan）の閲覧・調査
「TEST.xml」の操作・実務"
2026/04/23,14:00 - 14:59,"Webサイト（【LAN DISK CONNECT（ランディスクコネクト）】便利な機能のご紹介 | アイ・オー・データ機器 I-O DATA）の閲覧・調査
Webサイト（hostsファイルでサイトアクセスを制限 - NotebookLM）の閲覧・調査
「Perplexity」の操作・実務
「起動しています」の操作・実務
「Book1」の操作・実務"
2026/04/23,15:00 - 15:59,"Webサイト（Loading Notebook... - NotebookLM）の閲覧・調査
Webサイト（hostsファイルでサイトアクセスを制限 - NotebookLM）の閲覧・調査
Webサイト（NotebookLM）の閲覧・調査
「\\frt-nas\01_全社共有\システム統括部\業改室\★大宮システム部\（NAS）伊藤\ヤフーJETsource.txt」の操作・実務
「Book1」の操作・実務
Excelファイル（アプリケーション アプリ別(アプリ一覧).csv）のデータ入力・編集
「Perplexity」の操作・実務"
2026/04/23,16:00 - 16:59,"「Book1」の操作・実務
Antigravityを用いた「システム開発・改善」の開発・相談
Webサイト（Claude）の閲覧・調査
Webサイト（サイト名と危険度を列に追加 - Claude）の閲覧・調査"
2026/04/23,17:00 - 17:59,"「起動しています」の操作・実務
Webサイト（Claude）の閲覧・調査
Webサイト（サイト名と危険度を列に追加 - Claude）の閲覧・調査
Excelファイル（アプリケーション アプリ別(アプリ一覧).csv）のデータ入力・編集"
2026/04/23,18:00 - 18:59,"「TEST.xml」の操作・実務
スクリプト（test555.bat - メモ帳）の開発・デバッグ
スクリプト（*test555.bat - メモ帳）の開発・デバッグ
「タイトルなし」の操作・実務"
2026/04/24,09:00 - 09:59,"Webサイト（トップページ - サイボウズ Office）の閲覧・調査
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（メッセージの詳細 - サイボウズ Office）の閲覧・調査
Webサイト（メール - サイボウズ Office）の閲覧・調査
Webサイト（Mozilla Thunderbird）の閲覧・調査
Webサイト（Re: 年間スケジュール変更の件）の閲覧・調査
Webサイト（宮澤 - t_ito）の閲覧・調査
Webサイト（受信トレイ - t_ito）の閲覧・調査
Webサイト（2.システム運営課 - t_ito）の閲覧・調査
Webサイト（WindowsアプリやAIの活用法、最新ニュース - 窓の杜）の閲覧・調査
「WindowsアプリやAIの活用法、最新ニュース」の操作・実務
Webサイト（セキュリティ 脆弱性 - 窓の杜）の閲覧・調査
「セキュリティ 脆弱性」の操作・実務
「タイトルなし」の操作・実務"
2026/04/24,10:00 - 10:59,「開いているファイル」の操作・実務
2026/04/24,11:00 - 11:59,「開いているファイル」の操作・実務
2026/04/24,12:00 - 12:59,"「メモ.txt(更新)」の操作・実務
「開いているファイル」の操作・実務
「メモ.txt」の操作・実務"
2026/04/24,13:00 - 13:59,"「開いているファイル」の操作・実務
「メモ.txt」の操作・実務"
2026/04/24,14:00 - 14:59,"「開いているファイル」の操作・実務
「メモ.txt」の操作・実務
「Perplexity」の操作・実務"
2026/04/24,15:00 - 15:59,"Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（メッセージの詳細 - サイボウズ Office）の閲覧・調査
Webサイト（ファイルの詳細 - サイボウズ Office）の閲覧・調査
Excelファイル（2026年4月度【社員】勤怠申請・承認のご依頼0424.xlsx ）のデータ入力・編集
Webサイト（ワークフロー（最新一覧） - サイボウズ Office）の閲覧・調査
Webサイト（ワークフロー（送信一覧） - サイボウズ Office）の閲覧・調査
Webサイト（申請データの詳細 - サイボウズ Office）の閲覧・調査
Webサイト（メール - サイボウズ Office）の閲覧・調査
Webサイト（未処理申請の処理 - サイボウズ Office）の閲覧・調査
Webサイト（メッセージの送信 - サイボウズ Office）の閲覧・調査
Webサイト（NotebookLM）の閲覧・調査
Webサイト（hostsファイルでサイトアクセスを制限 - NotebookLM）の閲覧・調査
Webサイト（Loading Notebook... - NotebookLM）の閲覧・調査
Webサイト（Creating Notebook...）の閲覧・調査
Webサイト（フォレストウェイ | 事務・オフィス用品の通販 - 最短当日お届け【Forestway】）の閲覧・調査
「フォレストウェイ | 事務・オフィス用品の通販」の操作・実務
Webサイト（申請一覧 | フォレストウェイ）の閲覧・調査
Webサイト（注文申請内容 | フォレストウェイ）の閲覧・調査
Webサイト（カート | フォレストウェイ）の閲覧・調査
Webサイト（お届け先選択 | フォレストウェイ）の閲覧・調査
Webサイト（お届け日指定 | フォレストウェイ）の閲覧・調査
Webサイト（注文内容確認 | フォレストウェイ）の閲覧・調査
Webサイト（注文完了 | フォレストウェイ）の閲覧・調査"
2026/04/24,16:00 - 16:59,"Excelファイル（2026年4月度【社員】勤怠申請・承認のご依頼0424.xlsx ）のデータ入力・編集
「起動しています」の操作・実務
Antigravityを用いた「システム開発・改善」の開発・相談
Webサイト（1,300年に一度の巨大波がカナダ沖で発見! | Watch）の閲覧・調査
Webサイト（世界最大のコンドームメーカー受難、イラン戦争の影響で値上げ必至）の閲覧・調査"
2026/04/24,17:00 - 17:59,"「Perplexity」の操作・実務
「Webサイトブロック用のリストなんだが、別AIで生成の結果あってるものと間違ってるものがある。 これらを修正したい。」の操作・実務
「起動しています」の操作・実務
Webサイト（Claude）の閲覧・調査
Webサイト（Claude AI抽出の精度確認 - Claude）の閲覧・調査
Webサイト（【セナから20年後の世界】川井一仁が明かす「忘れられないセナとのケンカ」 | web Sportiva (スポルティーバ)）の閲覧・調査
Webサイト（川井一仁が明かす「忘れられないセナとのケンカ」 | web Sportiva (スポルティーバ)）の閲覧・調査"
2026/04/24,18:00 - 18:59,"Webサイト（川井一仁が明かす「忘れられないセナとのケンカ」 (2ページ目) | web Sportiva (スポルティーバ)）の閲覧・調査
「Webサイトブロック用のリストなんだが、別AIで生成の結果あってるものと間違ってるものがある。 これらを修正したい。」の操作・実務
「Perplexity」の操作・実務
「windows applocker 使い方」の操作・実務"
2026/04/27,08:00 - 08:59,"Webサイト（トップページ - サイボウズ Office）の閲覧・調査
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（メッセージの詳細 - サイボウズ Office）の閲覧・調査"
2026/04/27,09:00 - 09:59,"Webサイト（スケジュール（グループ週表示） - サイボウズ Office）の閲覧・調査
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（メッセージの詳細 - サイボウズ Office）の閲覧・調査
Webサイト（ファイルの詳細 - サイボウズ Office）の閲覧・調査
Excelファイル（2026年4月度【社員】勤怠申請・承認のご依頼0417.xlsx ）のデータ入力・編集
Excelファイル（2026年4月度【社員】勤怠申請・承認のご依頼0424.xlsx ）のデータ入力・編集
Webサイト（トップページ - サイボウズ Office）の閲覧・調査
Webサイト（ワークフロー（最新一覧） - サイボウズ Office）の閲覧・調査
Webサイト（ワークフロー（送信一覧） - サイボウズ Office）の閲覧・調査
Webサイト（申請データの詳細 - サイボウズ Office）の閲覧・調査
「セキュリティ 脆弱性」の操作・実務
Webサイト（「Microsoft Edge」にセキュリティ更新 ～「Chromium」の脆弱性2件に対処 - 窓の杜）の閲覧・調査
「「Microsoft Edge」にセキュリティ更新 ～「Chromium」の脆弱性2件に対処」の操作・実務
Webサイト（メッセージの送信（再利用） - サイボウズ Office）の閲覧・調査
「致命的な脆弱性に対処したAndroid OSの2026年4月セキュリティ更新が発表」の操作・実務
Webサイト（Amazon | 本, ファッション, 家電から食品まで | アマゾン）の閲覧・調査
Webサイト（Amazon.co.jp: 【整備済み品】 ノートパソコン NEC Versapro VM-9 14インチ フルHD Core i5-1135G7 第11世代 Windows11 Office 搭載 カメラ Wi-Fi6 type-C PC パソコン (SSD:256GB メモリ:16GB) : パソコン・周辺機器）の閲覧・調査
PDF資料（20260420_OA中古ノートPC７台購入_④稟議書（システム関連,社長決裁）20230701 (1).pdf）の閲覧・内容確認
Webサイト（Amazon.co.jp: 【整備済み品】Dell Latitude 3420 中古ノートパソコン、Windows11Pro、高性能第11世代CPU搭載、WEBカメラ、Bluetooth、無線LAN（WIFI6）、MS Office2021 液晶14インチ TypeC 第11世代i5-1145G7/16GB/512GB/1080タッチパネル) : パソコン・周辺機器）の閲覧・調査
Webサイト（Latitude 3420 セットアップと仕様 | Dell 日本）の閲覧・調査
Webサイト（Dell Latitude 3420 V4 NBLA111-074N1 価格比較 - 価格.com）の閲覧・調査
「Dell Latitude 3420 V4 NBLA111-074N1 価格比較」の操作・実務
Webサイト（Inspiron 7000 dell latitude 3420 i5 11th gen laptop 第11世代 ノートPC i5-1145G7 デル ノートパソコン中古 メモリ8GB NVMe 256GB 14. フルHD PC : サンクスジェピ - 通販 - Yahoo!ショッピング）の閲覧・調査
Webサイト（NEC VersaPro タイプVM PC-VKT42M3F936F 価格比較 - 価格.com）の閲覧・調査
「NEC VersaPro タイプVM PC-VKT42M3F936F 価格比較」の操作・実務
Webサイト（Dell Latitude 3420 整備済み品 中古ノートパソコン Windows11Pro）の閲覧・調査
Webサイト（メッセージの変更（標題・本文） - サイボウズ Office）の閲覧・調査"
2026/04/27,10:00 - 10:59,"「windows applocker 使い方」の操作・実務
Antigravityを用いた「システム開発・改善」の開発・相談
プログラム（Update tool scripts and cleanup TEST directory）の開発および修正
Webサイト（メッセージの詳細 - サイボウズ Office）の閲覧・調査
PDF資料（Acrobat-for-Chrome.pdf）の閲覧・内容確認
Webサイト（メール - サイボウズ Office）の閲覧・調査
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（Lenovo-csd）の閲覧・調査
Webサイト（秘密手法を加えたボリンジャーバンドMT5/MT4インジケーター無料公開！アラートとRSI/MAフィルター機能付き | FXキーストン）の閲覧・調査
Webサイト（Qiita）の閲覧・調査
Webサイト（Webのしないといけないセキュリティ対策 #Python - Qiita）の閲覧・調査
Webサイト（アプリなどを毎回同じ場所、同じ位置、同じ大きさで開きたい - Microsoft Q&A）の閲覧・調査
「アプリなどを毎回同じ場所、同じ位置、同じ大きさで開きたい」の操作・実務
Webサイト（【Windows 11】複数のウィンドウをササッと分割・整列できる「スナップ」が強化 その実力は？：Tech TIPS - ＠IT）の閲覧・調査
「【Windows 11】複数のウィンドウをササッと分割・整列できる「スナップ」が強化 その実力は？：Tech TIPS」の操作・実務
Webサイト（川井一仁が明かす「忘れられないセナとのケンカ」 | web Sportiva (スポルティーバ)）の閲覧・調査
Webサイト（Win11 ウィンドウの位置を固定する | ユニコムかつしかのブログ）の閲覧・調査
Webサイト（ワークフロー（最新一覧） - サイボウズ Office）の閲覧・調査
Webサイト（Figma）の閲覧・調査
Webサイト（ヘルプ – Dark Reader）の閲覧・調査
Webサイト（NotebookLM Web Importer - Import web pages and YouTube videos to NotebookLM）の閲覧・調査
Webサイト（Figma Make: Create with AI-Powered Design Tools）の閲覧・調査
Webサイト（Figma Make: AI搭載のデザインツールで制作）の閲覧・調査"
